#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADH1C	MAOA	9606.ENSP00000426083	9606.ENSP00000340684	0	0	0	0	0.103	0	0.650	0.290	0.757
ADH1C	GSTP1	9606.ENSP00000426083	9606.ENSP00000381607	0	0	0	0	0	0.166	0.650	0.283	0.772
ADIPOQ	HMOX1	9606.ENSP00000389814	9606.ENSP00000216117	0	0	0	0	0	0	0	0.550	0.550
ADIPOQ	MMP2	9606.ENSP00000389814	9606.ENSP00000219070	0	0	0	0	0.062	0	0	0.413	0.425
ADIPOQ	TGFB1	9606.ENSP00000389814	9606.ENSP00000221930	0	0	0	0	0	0	0	0.441	0.441
ADIPOQ	PON1	9606.ENSP00000389814	9606.ENSP00000222381	0	0	0	0	0	0	0	0.499	0.499
ADIPOQ	SERPINE1	9606.ENSP00000389814	9606.ENSP00000223095	0	0	0	0	0	0	0	0.806	0.806
ADIPOQ	MPO	9606.ENSP00000389814	9606.ENSP00000225275	0	0	0	0	0	0	0	0.464	0.463
ADIPOQ	CCL2	9606.ENSP00000389814	9606.ENSP00000225831	0	0	0	0	0	0	0	0.770	0.770
ADIPOQ	IFNG	9606.ENSP00000389814	9606.ENSP00000229135	0	0	0	0	0	0	0	0.505	0.505
ADIPOQ	APOB	9606.ENSP00000389814	9606.ENSP00000233242	0	0	0	0	0	0	0	0.704	0.704
ADIPOQ	CAT	9606.ENSP00000389814	9606.ENSP00000241052	0	0	0	0	0	0	0	0.521	0.521
ADIPOQ	CRP	9606.ENSP00000389814	9606.ENSP00000255030	0	0	0	0	0.062	0	0	0.880	0.882
ADIPOQ	MAPK3	9606.ENSP00000389814	9606.ENSP00000263025	0	0	0	0	0	0	0	0.512	0.512
ADIPOQ	IL1A	9606.ENSP00000389814	9606.ENSP00000263339	0	0	0	0	0	0	0	0.420	0.420
ADIPOQ	IL1B	9606.ENSP00000389814	9606.ENSP00000263341	0	0	0	0	0	0	0	0.715	0.715
ADIPOQ	ICAM1	9606.ENSP00000389814	9606.ENSP00000264832	0	0	0	0	0	0	0	0.608	0.608
ADIPOQ	TP53	9606.ENSP00000389814	9606.ENSP00000269305	0	0	0	0	0	0	0	0.424	0.424
ADIPOQ	PPARG	9606.ENSP00000389814	9606.ENSP00000287820	0	0	0	0	0.063	0	0.900	0.894	0.989
ADIPOQ	HMGCR	9606.ENSP00000389814	9606.ENSP00000287936	0	0	0	0	0	0	0	0.451	0.451
ADIPOQ	INSR	9606.ENSP00000389814	9606.ENSP00000303830	0	0	0	0	0	0	0	0.520	0.520
ADIPOQ	FASN	9606.ENSP00000389814	9606.ENSP00000304592	0	0	0	0	0	0.115	0	0.642	0.669
ADIPOQ	CXCL8	9606.ENSP00000389814	9606.ENSP00000306512	0	0	0	0	0	0	0	0.681	0.681
ADIPOQ	PPARD	9606.ENSP00000389814	9606.ENSP00000310928	0	0	0	0	0	0	0	0.515	0.515
ADIPOQ	CASP3	9606.ENSP00000389814	9606.ENSP00000311032	0	0	0	0	0	0	0	0.459	0.459
ADIPOQ	SLC2A4	9606.ENSP00000389814	9606.ENSP00000320935	0	0	0	0	0.091	0	0	0.839	0.848
ADIPOQ	SREBF1	9606.ENSP00000389814	9606.ENSP00000348069	0	0	0	0	0	0	0	0.749	0.749
ADIPOQ	DPP4	9606.ENSP00000389814	9606.ENSP00000353731	0	0	0	0	0	0	0	0.605	0.605
ADIPOQ	PTGS2	9606.ENSP00000389814	9606.ENSP00000356438	0	0	0	0	0	0	0	0.516	0.516
ADIPOQ	CD40LG	9606.ENSP00000389814	9606.ENSP00000359663	0	0	0	0	0	0	0	0.820	0.820
ADIPOQ	JUN	9606.ENSP00000389814	9606.ENSP00000360266	0	0	0	0	0	0	0	0.516	0.516
ADIPOQ	PTPN1	9606.ENSP00000389814	9606.ENSP00000360683	0	0	0	0	0	0	0	0.477	0.477
ADIPOQ	MMP9	9606.ENSP00000389814	9606.ENSP00000361405	0	0	0	0	0	0	0	0.529	0.529
ADIPOQ	SPP1	9606.ENSP00000389814	9606.ENSP00000378517	0	0	0	0	0	0	0	0.526	0.526
ADIPOQ	MAPK8	9606.ENSP00000389814	9606.ENSP00000378974	0	0	0	0	0	0	0	0.423	0.423
ADIPOQ	CYP19A1	9606.ENSP00000389814	9606.ENSP00000379683	0	0	0	0	0	0	0	0.502	0.502
ADIPOQ	NCOA1	9606.ENSP00000389814	9606.ENSP00000385216	0	0	0	0	0	0	0.900	0.162	0.912
ADIPOQ	PPARA	9606.ENSP00000389814	9606.ENSP00000385523	0	0	0	0	0	0	0	0.824	0.824
ADIPOQ	IL6	9606.ENSP00000389814	9606.ENSP00000385675	0	0	0	0	0	0	0	0.872	0.872
ADIPOQ	LDLR	9606.ENSP00000389814	9606.ENSP00000454071	0	0	0	0	0	0	0	0.424	0.424
ADIPOQ	IKBKB	9606.ENSP00000389814	9606.ENSP00000430684	0	0	0	0	0	0	0	0.454	0.454
ADIPOQ	HIF1A	9606.ENSP00000389814	9606.ENSP00000437955	0	0	0	0	0	0	0	0.468	0.468
ADIPOQ	MGAM	9606.ENSP00000389814	9606.ENSP00000447378	0	0	0	0	0	0	0	0.470	0.470
ADIPOQ	ESR1	9606.ENSP00000389814	9606.ENSP00000405330	0	0	0	0	0	0	0	0.505	0.505
ADIPOQ	IL10	9606.ENSP00000389814	9606.ENSP00000412237	0	0	0	0	0	0	0	0.689	0.689
ADIPOQ	AKT1	9606.ENSP00000389814	9606.ENSP00000451828	0	0	0	0	0	0	0	0.692	0.692
ADIPOQ	TNF	9606.ENSP00000389814	9606.ENSP00000398698	0	0	0	0	0	0	0	0.872	0.872
ADIPOQ	NCOA2	9606.ENSP00000389814	9606.ENSP00000399968	0	0	0	0	0	0	0.900	0.249	0.921
ADIPOQ	RXRA	9606.ENSP00000389814	9606.ENSP00000419692	0	0	0	0	0.049	0	0.900	0.312	0.928
ADRA2A	SLC6A4	9606.ENSP00000280155	9606.ENSP00000261707	0	0	0	0	0	0.057	0	0.564	0.571
ADRA2A	MAOA	9606.ENSP00000280155	9606.ENSP00000340684	0	0	0	0	0.065	0	0	0.426	0.440
ADRA2A	PRKCA	9606.ENSP00000280155	9606.ENSP00000408695	0	0	0	0	0.062	0.056	0.650	0.081	0.677
ADRB2	SLC6A4	9606.ENSP00000305372	9606.ENSP00000261707	0	0	0	0	0	0.057	0	0.456	0.465
ADRB2	MAPK3	9606.ENSP00000305372	9606.ENSP00000263025	0	0	0	0	0	0	0	0.505	0.505
ADRB2	IL1B	9606.ENSP00000305372	9606.ENSP00000263341	0	0	0	0	0.088	0.213	0	0.413	0.541
ADRB2	EGFR	9606.ENSP00000305372	9606.ENSP00000275493	0	0	0	0	0	0.122	0	0.491	0.534
ADRB2	PPARG	9606.ENSP00000305372	9606.ENSP00000287820	0	0	0	0	0	0.056	0	0.457	0.465
ADRB2	INSR	9606.ENSP00000305372	9606.ENSP00000303830	0	0	0	0	0	0.225	0	0.703	0.760
ADRB2	CXCL8	9606.ENSP00000305372	9606.ENSP00000306512	0	0	0	0	0.076	0	0	0.381	0.403
ADRB2	IL6	9606.ENSP00000305372	9606.ENSP00000385675	0	0	0	0	0.063	0	0	0.470	0.482
ADRB2	AKT1	9606.ENSP00000305372	9606.ENSP00000451828	0	0	0	0	0	0.056	0	0.521	0.528
ADRB2	TNF	9606.ENSP00000305372	9606.ENSP00000398698	0	0	0	0	0.065	0	0	0.554	0.566
ADRB2	F2	9606.ENSP00000305372	9606.ENSP00000308541	0	0	0	0	0	0.097	0.900	0.173	0.918
AHR	HMOX1	9606.ENSP00000242057	9606.ENSP00000216117	0	0	0	0	0.062	0	0	0.510	0.520
AHR	IFNG	9606.ENSP00000242057	9606.ENSP00000229135	0	0	0	0	0	0	0	0.486	0.486
AHR	CAT	9606.ENSP00000242057	9606.ENSP00000241052	0	0	0	0	0.062	0	0	0.391	0.404
AHR	EGFR	9606.ENSP00000242057	9606.ENSP00000275493	0	0	0	0	0.062	0	0	0.412	0.425
AHR	E2F1	9606.ENSP00000242057	9606.ENSP00000345571	0	0	0	0	0	0.270	0	0.255	0.433
AHR	HIF1A	9606.ENSP00000242057	9606.ENSP00000437955	0	0	0	0.574	0.065	0	0	0.955	0.445
AHR	GSTM1	9606.ENSP00000242057	9606.ENSP00000311469	0	0	0	0	0	0	0	0.452	0.452
AHR	AKT1	9606.ENSP00000242057	9606.ENSP00000451828	0	0	0	0	0	0	0	0.463	0.463
AHR	GSTP1	9606.ENSP00000242057	9606.ENSP00000381607	0	0	0	0	0	0	0	0.477	0.477
AHR	CYP19A1	9606.ENSP00000242057	9606.ENSP00000379683	0	0	0	0	0	0	0	0.478	0.478
AHR	PTGS2	9606.ENSP00000242057	9606.ENSP00000356438	0	0	0	0	0.098	0	0	0.469	0.500
AHR	CXCL8	9606.ENSP00000242057	9606.ENSP00000306512	0	0	0	0	0.098	0	0	0.472	0.504
AHR	TP53	9606.ENSP00000242057	9606.ENSP00000269305	0	0	0	0	0	0	0	0.518	0.518
AHR	PPARG	9606.ENSP00000242057	9606.ENSP00000287820	0	0	0	0	0	0.057	0	0.565	0.573
AHR	JUN	9606.ENSP00000242057	9606.ENSP00000360266	0	0	0	0	0	0	0	0.588	0.588
AHR	IL10	9606.ENSP00000242057	9606.ENSP00000412237	0	0	0	0	0	0	0	0.609	0.609
AHR	IL1B	9606.ENSP00000242057	9606.ENSP00000263341	0	0	0	0	0.071	0	0	0.600	0.612
AHR	PPARA	9606.ENSP00000242057	9606.ENSP00000385523	0	0	0	0	0.062	0.057	0	0.638	0.652
AHR	NCOA2	9606.ENSP00000242057	9606.ENSP00000399968	0	0	0	0.546	0	0.599	0	0.334	0.654
AHR	IL6	9606.ENSP00000242057	9606.ENSP00000385675	0	0	0	0	0.069	0	0	0.655	0.665
AHR	TNF	9606.ENSP00000242057	9606.ENSP00000398698	0	0	0	0	0	0	0	0.673	0.674
AHR	ESR2	9606.ENSP00000242057	9606.ENSP00000343925	0	0	0	0	0	0.057	0	0.668	0.674
AHR	CYP3A4	9606.ENSP00000242057	9606.ENSP00000337915	0	0	0	0	0.062	0	0	0.677	0.684
AHR	NQO1	9606.ENSP00000242057	9606.ENSP00000319788	0	0	0	0	0	0	0	0.688	0.688
AHR	NCOA1	9606.ENSP00000242057	9606.ENSP00000385216	0	0	0	0.547	0.062	0.599	0	0.579	0.707
AHR	NFE2L2	9606.ENSP00000242057	9606.ENSP00000380252	0	0	0	0	0	0.273	0	0.635	0.724
AHR	CYP1A2	9606.ENSP00000242057	9606.ENSP00000342007	0	0	0	0	0.062	0	0	0.747	0.752
AHR	NR1I3	9606.ENSP00000242057	9606.ENSP00000356959	0	0	0	0	0	0.057	0	0.775	0.778
AHR	NR1I2	9606.ENSP00000242057	9606.ENSP00000336528	0	0	0	0	0.062	0.057	0	0.833	0.839
AHR	AR	9606.ENSP00000242057	9606.ENSP00000363822	0	0	0	0	0	0.470	0	0.833	0.908
AHR	RELA	9606.ENSP00000242057	9606.ENSP00000384273	0	0	0	0	0	0.486	0	0.980	0.989
AHR	STAT1	9606.ENSP00000242057	9606.ENSP00000354394	0	0	0	0	0.062	0.182	0	0.988	0.990
AHR	ESR1	9606.ENSP00000242057	9606.ENSP00000405330	0	0	0	0	0	0.873	0	0.990	0.998
AKT1	HMOX1	9606.ENSP00000451828	9606.ENSP00000216117	0	0	0	0	0	0.230	0	0.749	0.799
AKT1	MMP2	9606.ENSP00000451828	9606.ENSP00000219070	0	0	0	0	0.062	0	0	0.767	0.772
AKT1	GSR	9606.ENSP00000451828	9606.ENSP00000221130	0	0	0	0	0.045	0	0	0.469	0.471
AKT1	TGFB1	9606.ENSP00000451828	9606.ENSP00000221930	0	0	0	0	0.076	0.150	0	0.634	0.688
AKT1	SERPINE1	9606.ENSP00000451828	9606.ENSP00000223095	0	0	0	0	0	0	0	0.619	0.619
AKT1	MPO	9606.ENSP00000451828	9606.ENSP00000225275	0	0	0	0	0	0.077	0	0.526	0.544
AKT1	CCL2	9606.ENSP00000451828	9606.ENSP00000225831	0	0	0	0	0	0	0	0.685	0.685
AKT1	COL1A1	9606.ENSP00000451828	9606.ENSP00000225964	0	0	0	0	0.062	0.056	0	0.502	0.521
AKT1	IFNG	9606.ENSP00000451828	9606.ENSP00000229135	0	0	0	0	0	0	0	0.605	0.605
AKT1	MAPK14	9606.ENSP00000451828	9606.ENSP00000229795	0	0	0.303	0.623	0.083	0.830	0.600	0.769	0.956
AKT1	APOB	9606.ENSP00000451828	9606.ENSP00000233242	0	0	0	0	0	0	0	0.448	0.448
AKT1	CTSD	9606.ENSP00000451828	9606.ENSP00000236671	0	0	0	0	0.096	0.077	0	0.460	0.510
AKT1	CAT	9606.ENSP00000451828	9606.ENSP00000241052	0.044	0	0	0	0	0.058	0.900	0.729	0.972
AKT1	HSPB1	9606.ENSP00000451828	9606.ENSP00000248553	0	0	0	0	0	0.760	0	0.982	0.995
AKT1	CRP	9606.ENSP00000451828	9606.ENSP00000255030	0	0	0	0	0	0	0	0.568	0.568
AKT1	MAPK3	9606.ENSP00000451828	9606.ENSP00000263025	0	0	0.323	0.586	0.066	0.148	0.800	0.938	0.906
AKT1	IL1A	9606.ENSP00000451828	9606.ENSP00000263339	0	0	0	0	0	0	0	0.521	0.521
AKT1	IL1B	9606.ENSP00000451828	9606.ENSP00000263341	0	0	0	0	0	0.056	0	0.774	0.777
AKT1	ICAM1	9606.ENSP00000451828	9606.ENSP00000264832	0	0	0	0	0	0	0	0.678	0.678
AKT1	TP53	9606.ENSP00000451828	9606.ENSP00000269305	0	0	0	0	0.053	0.201	0.900	0.877	0.989
AKT1	SOD1	9606.ENSP00000451828	9606.ENSP00000270142	0	0	0	0	0	0.090	0.900	0.569	0.957
AKT1	EGFR	9606.ENSP00000451828	9606.ENSP00000275493	0	0	0	0.554	0	0.650	0	0.926	0.794
AKT1	PPARG	9606.ENSP00000451828	9606.ENSP00000287820	0	0	0	0	0.062	0.077	0	0.836	0.846
AKT1	HMGCR	9606.ENSP00000451828	9606.ENSP00000287936	0	0	0	0	0	0.058	0	0.560	0.568
AKT1	INSR	9606.ENSP00000451828	9606.ENSP00000303830	0	0	0	0.559	0.052	0.182	0.900	0.730	0.942
AKT1	FASN	9606.ENSP00000451828	9606.ENSP00000304592	0	0	0	0	0.088	0.128	0	0.629	0.679
AKT1	CXCL10	9606.ENSP00000451828	9606.ENSP00000305651	0	0	0	0	0	0	0	0.502	0.502
AKT1	CXCL8	9606.ENSP00000451828	9606.ENSP00000306512	0	0	0	0	0	0	0	0.714	0.714
AKT1	F2	9606.ENSP00000451828	9606.ENSP00000308541	0	0	0	0	0	0.056	0	0.521	0.529
AKT1	OLR1	9606.ENSP00000451828	9606.ENSP00000309124	0	0	0	0	0	0.058	0	0.404	0.414
AKT1	PPARD	9606.ENSP00000451828	9606.ENSP00000310928	0	0	0	0	0.062	0.077	0	0.419	0.453
AKT1	CASP3	9606.ENSP00000451828	9606.ENSP00000311032	0	0	0	0	0	0.475	0	0.882	0.935
AKT1	NQO1	9606.ENSP00000451828	9606.ENSP00000319788	0	0	0	0	0	0	0	0.569	0.569
AKT1	SLC2A4	9606.ENSP00000451828	9606.ENSP00000320935	0	0	0	0	0	0.153	0	0.858	0.874
AKT1	MMP1	9606.ENSP00000451828	9606.ENSP00000322788	0	0	0	0	0	0	0	0.560	0.560
AKT1	NOS2	9606.ENSP00000451828	9606.ENSP00000327251	0	0	0	0	0.063	0.077	0.900	0.646	0.965
AKT1	CASP9	9606.ENSP00000451828	9606.ENSP00000330237	0	0	0	0	0	0.231	0.900	0.814	0.984
AKT1	NR1I2	9606.ENSP00000451828	9606.ENSP00000336528	0	0	0	0	0	0.077	0	0.390	0.412
AKT1	CYP3A4	9606.ENSP00000451828	9606.ENSP00000337915	0	0	0	0	0	0.056	0	0.392	0.401
AKT1	ESR2	9606.ENSP00000451828	9606.ENSP00000343925	0	0	0	0	0	0.242	0	0.839	0.872
AKT1	E2F1	9606.ENSP00000451828	9606.ENSP00000345571	0	0	0	0	0.092	0.075	0.900	0.486	0.951
AKT1	SREBF1	9606.ENSP00000451828	9606.ENSP00000348069	0	0	0	0	0.085	0.062	0	0.718	0.737
AKT1	RASSF1	9606.ENSP00000451828	9606.ENSP00000349547	0	0	0	0	0.063	0.189	0	0.429	0.528
AKT1	CASP8	9606.ENSP00000451828	9606.ENSP00000351273	0	0	0	0	0	0.063	0	0.760	0.766
AKT1	PIK3CG	9606.ENSP00000451828	9606.ENSP00000352121	0	0	0	0	0.063	0.184	0.900	0.839	0.986
AKT1	DPP4	9606.ENSP00000451828	9606.ENSP00000353731	0	0	0	0	0.073	0	0	0.534	0.549
AKT1	STAT1	9606.ENSP00000451828	9606.ENSP00000354394	0	0	0	0	0	0.294	0.900	0.702	0.977
AKT1	DRD2	9606.ENSP00000451828	9606.ENSP00000354859	0	0	0	0	0	0.056	0	0.503	0.510
AKT1	PTGS2	9606.ENSP00000451828	9606.ENSP00000356438	0	0	0	0	0.062	0.077	0	0.738	0.754
AKT1	CHUK	9606.ENSP00000451828	9606.ENSP00000359424	0	0	0	0.593	0	0.872	0.900	0.898	0.991
AKT1	CD40LG	9606.ENSP00000451828	9606.ENSP00000359663	0	0	0	0	0	0.056	0.900	0.493	0.947
AKT1	JUN	9606.ENSP00000451828	9606.ENSP00000360266	0	0	0	0	0	0.057	0.800	0.877	0.974
AKT1	PTPN1	9606.ENSP00000451828	9606.ENSP00000360683	0	0	0	0	0.091	0.284	0.900	0.672	0.975
AKT1	PTEN	9606.ENSP00000451828	9606.ENSP00000361021	0	0	0	0	0.062	0.852	0	0.952	0.992
AKT1	MMP9	9606.ENSP00000451828	9606.ENSP00000361405	0	0	0	0	0.062	0	0	0.811	0.815
AKT1	AR	9606.ENSP00000451828	9606.ENSP00000363822	0	0	0	0	0	0.870	0	0.847	0.979
AKT1	SPP1	9606.ENSP00000451828	9606.ENSP00000378517	0	0	0	0	0	0.060	0	0.610	0.618
AKT1	MAPK8	9606.ENSP00000451828	9606.ENSP00000378974	0	0	0.417	0.573	0.084	0.315	0	0.810	0.642
AKT1	CYP19A1	9606.ENSP00000451828	9606.ENSP00000379683	0	0	0	0	0	0.056	0	0.609	0.615
AKT1	NFE2L2	9606.ENSP00000451828	9606.ENSP00000380252	0	0	0	0	0	0.315	0	0.686	0.776
AKT1	BCL2	9606.ENSP00000451828	9606.ENSP00000381185	0	0	0	0	0.062	0	0.900	0.457	0.944
AKT1	GSTP1	9606.ENSP00000451828	9606.ENSP00000381607	0	0	0	0	0.049	0.056	0	0.391	0.405
AKT1	RELA	9606.ENSP00000451828	9606.ENSP00000384273	0	0	0	0	0.086	0.056	0	0.720	0.738
AKT1	CDKN1A	9606.ENSP00000451828	9606.ENSP00000384849	0	0	0	0	0	0.789	0.900	0.710	0.993
AKT1	PPARA	9606.ENSP00000451828	9606.ENSP00000385523	0	0	0	0	0	0.077	0	0.686	0.698
AKT1	IL6	9606.ENSP00000451828	9606.ENSP00000385675	0	0	0	0	0.056	0	0	0.829	0.832
AKT1	TNF	9606.ENSP00000451828	9606.ENSP00000398698	0	0	0	0	0	0.056	0	0.826	0.829
AKT1	ESR1	9606.ENSP00000451828	9606.ENSP00000405330	0	0	0	0	0.055	0.297	0.900	0.805	0.985
AKT1	IL10	9606.ENSP00000451828	9606.ENSP00000412237	0	0	0	0	0	0.060	0	0.690	0.697
AKT1	RXRA	9606.ENSP00000451828	9606.ENSP00000419692	0	0	0	0	0.082	0.077	0.900	0.322	0.934
AKT1	IKBKB	9606.ENSP00000451828	9606.ENSP00000430684	0	0	0	0.601	0	0.784	0.900	0.716	0.983
AKT1	HIF1A	9606.ENSP00000451828	9606.ENSP00000437955	0	0	0	0	0	0.261	0.900	0.887	0.990
AKT1	LDLR	9606.ENSP00000451828	9606.ENSP00000454071	0	0	0	0	0.055	0.056	0	0.481	0.496
APOB	PON1	9606.ENSP00000233242	9606.ENSP00000222381	0	0	0	0	0.080	0	0.720	0.730	0.924
APOB	SERPINE1	9606.ENSP00000233242	9606.ENSP00000223095	0	0	0	0	0.072	0	0	0.606	0.619
APOB	MPO	9606.ENSP00000233242	9606.ENSP00000225275	0	0	0	0	0.062	0	0	0.525	0.535
APOB	CCL2	9606.ENSP00000233242	9606.ENSP00000225831	0	0	0	0	0	0	0	0.517	0.517
APOB	MAPK14	9606.ENSP00000233242	9606.ENSP00000229795	0	0	0	0	0	0	0.650	0.152	0.690
APOB	CXCL8	9606.ENSP00000233242	9606.ENSP00000306512	0	0	0	0	0	0	0	0.401	0.400
APOB	CTSD	9606.ENSP00000233242	9606.ENSP00000236671	0	0	0	0	0.062	0.178	0	0.295	0.409
APOB	CAT	9606.ENSP00000233242	9606.ENSP00000241052	0	0	0	0	0.062	0	0	0.405	0.418
APOB	IL10	9606.ENSP00000233242	9606.ENSP00000412237	0	0	0	0	0	0	0	0.420	0.420
APOB	SLC2A4	9606.ENSP00000233242	9606.ENSP00000320935	0	0	0	0	0.089	0	0	0.422	0.451
APOB	DPP4	9606.ENSP00000233242	9606.ENSP00000353731	0	0	0	0	0.063	0	0	0.456	0.468
APOB	IL1B	9606.ENSP00000233242	9606.ENSP00000263341	0	0	0	0	0	0	0	0.470	0.470
APOB	ICAM1	9606.ENSP00000233242	9606.ENSP00000264832	0	0	0	0	0	0	0	0.518	0.518
APOB	TNF	9606.ENSP00000233242	9606.ENSP00000398698	0	0	0	0	0	0	0	0.574	0.574
APOB	FASN	9606.ENSP00000233242	9606.ENSP00000304592	0	0	0	0	0.062	0	0	0.579	0.588
APOB	CYP3A4	9606.ENSP00000233242	9606.ENSP00000337915	0	0	0	0	0.190	0	0	0.517	0.592
APOB	PPARG	9606.ENSP00000233242	9606.ENSP00000287820	0	0	0	0	0.062	0	0	0.610	0.618
APOB	IL6	9606.ENSP00000233242	9606.ENSP00000385675	0	0	0	0	0	0	0	0.619	0.619
APOB	PPARA	9606.ENSP00000233242	9606.ENSP00000385523	0	0	0	0	0.065	0	0	0.693	0.701
APOB	HMGCR	9606.ENSP00000233242	9606.ENSP00000287936	0	0	0	0	0	0	0	0.715	0.715
APOB	SREBF1	9606.ENSP00000233242	9606.ENSP00000348069	0	0	0	0	0.062	0	0	0.720	0.726
APOB	F2	9606.ENSP00000233242	9606.ENSP00000308541	0	0	0	0	0.704	0.056	0	0.466	0.837
APOB	CRP	9606.ENSP00000233242	9606.ENSP00000255030	0	0	0	0	0.082	0	0	0.902	0.906
APOB	OLR1	9606.ENSP00000233242	9606.ENSP00000309124	0	0	0	0	0	0	0.600	0.882	0.950
APOB	LDLR	9606.ENSP00000233242	9606.ENSP00000454071	0	0	0	0	0.062	0.696	0.800	0.989	0.999
APOB	MTTP	9606.ENSP00000233242	9606.ENSP00000427679	0	0	0	0	0.546	0.735	0.900	0.990	0.999
AR	MMP2	9606.ENSP00000363822	9606.ENSP00000219070	0	0	0	0	0.061	0	0	0.403	0.415
AR	MAPK14	9606.ENSP00000363822	9606.ENSP00000229795	0	0	0	0	0	0.104	0.900	0.289	0.930
AR	HSPB1	9606.ENSP00000363822	9606.ENSP00000248553	0	0	0	0	0	0.056	0	0.591	0.597
AR	MAPK3	9606.ENSP00000363822	9606.ENSP00000263025	0	0	0	0	0	0.104	0	0.517	0.548
AR	TP53	9606.ENSP00000363822	9606.ENSP00000269305	0	0	0	0	0	0.474	0	0.776	0.877
AR	EGFR	9606.ENSP00000363822	9606.ENSP00000275493	0	0	0	0	0.063	0.698	0	0.966	0.989
AR	FASN	9606.ENSP00000363822	9606.ENSP00000304592	0	0	0	0	0	0	0	0.420	0.420
AR	CXCL8	9606.ENSP00000363822	9606.ENSP00000306512	0	0	0	0	0	0	0	0.406	0.406
AR	PRKACA	9606.ENSP00000363822	9606.ENSP00000309591	0	0	0	0	0	0	0.900	0.094	0.905
AR	CASP3	9606.ENSP00000363822	9606.ENSP00000311032	0	0	0	0	0	0.228	0	0.617	0.692
